namespace,name,url,lang,route_count,browser_routes,config_required_routes,anti_crawler_routes,categories
chinamoney,中国货币网,chinamoney.com.cn,zh-CN,1,0,0,0,finance
chinanews,中国新闻网,chinanews.com.cn,zh-CN,1,0,0,0,traditional-media
chinania,中国有色金属工业网,chinania.org.cn,zh-CN,1,0,0,0,new-media
chinaratings,中债资信评估有限责任公司,chinaratings.com.cn,,1,0,0,0,finance
chinasilkmuseum,China National Silk Museum,www.chinasilkmuseum.com,,1,0,0,0,travel
chinathinktanks,中国智库网,www.chinathinktanks.org.cn,zh-CN,1,0,0,0,study
chinatimes,中時新聞網,www.chinatimes.com,zh-TW,1,0,0,0,traditional-media
chinaventure,投中网,chinaventure.com.cn,zh-CN,1,0,0,0,new-media
chinawriter,中国作家网,chinawriter.com.cn,zh-CN,1,0,0,0,new-media
chiphell,Chiphell,www.chiphell.com,zh-CN,1,0,0,0,bbs
chnmus,Henan Museum,www.chnmus.net,,1,0,0,0,travel
chnmuseum,National Museum Of China,www.chnmuseum.cn,,3,0,0,0,travel
chocolatey,Chocolatey,chocolatey.org,en,2,0,0,0,program-update
chongbuluo,虫部落,www.chongbuluo.com,zh-CN,1,0,0,0,bbs
chongdiantou,充电头网,www.chongdiantou.com,zh-CN,1,0,0,0,
chouti,抽屉新热榜,ichouti.cn,zh-CN,2,0,0,0,new-media
chromium,Chromium,issues.chromium.org,en,1,0,0,0,programming
chsi,中国研究生招生信息网,yz.chsi.com.cn,zh-CN,4,0,0,0,study
chuanliu,川流,chuanliu.org,zh-CN,1,0,0,0,blog
chuapp,触乐,chuapp.com,zh-CN,1,0,0,0,game
chub,Chub,chub.ai,en,1,0,0,0,new-media
chuhaibiji,出海笔记,www.chuhaibiji.com,zh-CN,1,0,0,0,other
cia,Central Intelligence Agency CIA,cia.gov,en,1,0,0,0,government
cib,中国兴业银行,cib.com.cn,zh-CN,1,0,0,0,other
cih-index,中指研究院,www.cih-index.com,zh-CN,1,0,0,0,finance
ciidbnu,中国收入分配研究院,ciidbnu.org,zh-CN,1,0,0,0,new-media
cisia,中国无机盐工业协会,www.cisia.org,zh-CN,1,0,0,0,government
civitai,Civitai,civitai.com,en,3,0,1,0,program-update
ciweimao,刺猬猫,wap.ciweimao.com,zh-CN,1,0,0,0,reading
claude,Claude,claude.com,en,2,0,0,0,program-update;programming
clickme,ClickMe,clickme.net,en,1,0,0,1,other
cline,Cline Offcial Blog,cline.bot,,1,0,0,0,blog
cloudflarestatus,Cloudflare Status,cloudflarestatus.com,en,1,0,0,0,programming
cloudnative,云原生社区,cloudnative.to,zh-CN,1,0,0,0,blog
cls,财联社,cls.cn,zh-CN,4,0,0,1,finance
cma,中国气象局,weather.cma.cn,zh-CN,1,0,0,1,forecast
cmde,国家药品监督管理局医疗器械技术审评中心,www.cmde.org.cn,zh-CN,1,0,0,0,government
cmpxchg8b,cmpxchg8b,lock.cmpxchg8b.com,en,1,0,0,0,blog
cn-healthcare,健康界,cn-healthcare.com,zh-CN,1,0,0,0,new-media
cna,中央通讯社,cna.com.tw,zh-TW,1,0,0,0,traditional-media
cnbc,CNBC,search.cnbc.com,en,1,0,0,0,traditional-media
cnbeta,cnBeta.COM,cnbeta.com.tw,zh-TW,3,0,0,0,
cnblogs,博客园,www.cnblogs.com,zh-CN,5,0,0,0,blog
cncf,CNCF,cncf.io,en,2,0,0,0,programming
cneb,中国国家应急广播,cneb.gov.cn,zh-CN,2,0,0,0,forecast
cngal,CnGal,www.cngal.org,zh-CN,2,0,0,0,anime
cngold,中国黄金协会,cngold.org.cn,zh-CN,1,0,0,0,new-media
cninfo,巨潮资讯,www.cninfo.com.cn,zh-CN,1,0,0,0,finance
cnjxol,南湖清风,cnjxol.com,zh-CN,2,0,0,2,traditional-media
cnki,中国知网,navi.cnki.net,zh-CN,3,0,0,0,journal
cnljxh,中国炼焦行业协会,cnljxh.com,zh-CN,1,0,0,0,new-media
cntheory,理论网,paper.cntheory.com,zh-CN,1,0,0,0,traditional-media
cntv,CNTV,navi.cctv.com,zh-CN,1,0,0,0,multimedia
cnu,首都师范大学,cnu.edu.cn,zh-CN,5,0,0,0,university
